,tgt_rate,cpi_yoy,pce_yoy,gdp_yoy,unrate,unrate_chg_3m,vix,t10y2y,eq_ret_12m,y
2000-01-01,5.5,2.792956891317555,2.1891369506148672,4.224744861233032,4.0,-0.09999999999999964,23.202,0.221,70.22198659767582,2
2000-02-01,5.75,3.2179720704310855,2.5687379130580945,4.224744861233032,4.1,0.0,23.5955,-0.091,87.14012171642761,2
2000-03-01,6.0,3.762135922330101,2.930879964151667,4.224744861233032,4.0,0.0,22.718260869565217,-0.2717391304347826,100.86604133884114,1
2000-04-01,6.0,3.013863773357439,2.3509901473026895,5.2444568111355006,3.8,-0.20000000000000018,27.164210526315788,-0.4131578947368421,52.23837294104487,2
2000-05-01,6.5,3.1325301204819134,2.368948805080495,5.2444568111355006,4.0,-0.09999999999999964,26.37318181818182,-0.3690909090909091,40.429190465706476,1
2000-06-01,6.5,3.7349397590361377,2.684264750925869,5.2444568111355006,4.0,0.0,21.54,-0.3845454545454546,53.33360739934969,1
2000-07-01,6.5,3.5992801439711952,2.668814307732892,3.9731723525519014,4.0,0.20000000000000018,19.893,-0.28500000000000003,46.56323795037882,1
2000-08-01,6.5,3.3512866546977715,2.475467095414974,3.9731723525519014,4.1,0.09999999999999964,18.088695652173914,-0.4026086956521739,47.953539387837615,1
2000-09-01,6.5,3.45649582836709,2.5480961785462775,3.9731723525519014,3.9,-0.10000000000000009,19.6875,-0.28250000000000003,38.03047066421015,1
2000-10-01,6.5,3.4503271861986873,2.5148561265149194,2.9055943095086967,3.9,-0.10000000000000009,25.2,-0.1738095238095238,18.419073511586625,1
2000-11-01,6.5,3.444180522565321,2.5663277956855968,2.9055943095086967,3.9,-0.19999999999999973,26.38285714285714,-0.15809523809523812,-5.4211639126010125,1
2000-12-01,6.5,3.4360189573459543,2.4847793521432404,2.9055943095086967,3.9,0.0,26.5305,-0.1115,-28.933322216459867,0
2001-01-01,5.5,3.7212049616065945,2.7014432367977514,2.1975051856706784,4.2,0.30000000000000027,24.918571428571425,0.40095238095238095,-33.801712779082614,1
2001-02-01,5.5,3.529411764705892,2.537197196376595,2.1975051856706784,4.2,0.30000000000000027,23.411578947368422,0.4421052631578948,-44.46517538862028,0
2001-03-01,5.0,2.9824561403508643,2.1087000884293827,2.1975051856706784,4.3,0.3999999999999999,28.49681818181818,0.5431818181818181,-58.63693446840732,0
2001-04-01,4.5,3.2182562902282053,2.373236751810892,0.9962983270431103,4.4,0.20000000000000018,28.133999999999997,0.907,-49.94540595847028,0
2001-05-01,4.0,3.5630841121495394,2.5576491395143286,0.9962983270431103,4.3,0.09999999999999964,22.944090909090907,1.1313636363636363,-38.18392925902771,0
2001-06-01,3.75,3.193960511033689,2.3917346855763633,0.9962983270431103,4.5,0.20000000000000018,20.94047619047619,1.2042857142857142,-45.36112990747954,1
2001-07-01,3.75,2.7214823393167498,2.1017325092305805,0.48923629256110157,4.6,0.1999999999999993,22.316190476190474,1.1976190476190476,-49.37436430609738,0
2001-08-01,3.5,2.7214823393167498,2.0964644142072553,0.48923629256110157,4.9,0.6000000000000005,21.86173913043478,1.2139130434782608,-50.641648483058354,0
2001-09-01,3.0,2.5921658986175045,1.3130959435436296,0.48923629256110157,5.0,0.5,35.065333333333335,1.6129411764705883,-59.40706255344027,0
2001-10-01,2.5,2.127659574468077,1.531881699460702,0.16731829373148877,5.3,0.7000000000000002,32.72130434782609,1.8409090909090908,-50.31447401369703,0
2001-11-01,2.0,1.894374282433997,1.321568153430852,0.16731829373148877,5.5,0.5999999999999996,26.63095238095238,1.8690000000000002,-38.795147787565945,0
2001-12-01,1.75,1.603665521191311,1.0620750693969505,0.16731829373148877,5.7,0.7000000000000002,23.72,1.9805,-25.588647785815944,1
2002-01-01,1.75,1.1958997722095743,0.6659371163187933,1.3372586567694578,5.7,0.40000000000000036,22.252857142857142,2.0076190476190474,-25.597683628122304,1
2002-02-01,1.75,1.1363636363636465,0.679565078349853,1.3372586567694578,5.7,0.20000000000000018,22.87578947368421,1.8963157894736842,-26.52917311785401,1
2002-03-01,1.75,1.3628620102214661,0.9433082406235416,1.3372586567694578,5.7,0.0,18.985,1.7265000000000001,-6.222377449258798,1
